symbol,base,quote,exchange,type,active
DENT/EUR,DENT,EUR,kraken,spot,True
DENT/USD,DENT,USD,kraken,spot,True
DMC/EUR,DMC,EUR,kraken,spot,True
DMC/USD,DMC,USD,kraken,spot,True
DOG/EUR,DOG,EUR,kraken,spot,True
DOGS/EUR,DOGS,EUR,kraken,spot,True
DOGS/USD,DOGS,USD,kraken,spot,True
DOG/USD,DOG,USD,kraken,spot,True
DOLO/EUR,DOLO,EUR,kraken,spot,True
DOLO/USD,DOLO,USD,kraken,spot,True
DOT/ETH,DOT,ETH,kraken,spot,True
DOT/EUR,DOT,EUR,kraken,spot,True
DOT/GBP,DOT,GBP,kraken,spot,True
DOT/JPY,DOT,JPY,kraken,spot,True
DOT/USD,DOT,USD,kraken,spot,True
DOT/USDC,DOT,USDC,kraken,spot,True
DOT/USDT,DOT,USDT,kraken,spot,True
DOT/BTC,DOT,BTC,kraken,spot,True
DOVU/USD,DOVU,USD,kraken,spot,True
DRIFT/EUR,DRIFT,EUR,kraken,spot,True
DRIFT/USD,DRIFT,USD,kraken,spot,True
DRV/EUR,DRV,EUR,kraken,spot,True
DRV/USD,DRV,USD,kraken,spot,True
DUAL/EUR,DUAL,EUR,kraken,spot,True
DUAL/USD,DUAL,USD,kraken,spot,True
DUCK/EUR,DUCK,EUR,kraken,spot,True
DUCK/USD,DUCK,USD,kraken,spot,True
DYDX/EUR,DYDX,EUR,kraken,spot,True
DYDX/USD,DYDX,USD,kraken,spot,True
DYM/EUR,DYM,EUR,kraken,spot,True
DYM/USD,DYM,USD,kraken,spot,True
EAT/EUR,EAT,EUR,kraken,spot,True
EAT/USD,EAT,USD,kraken,spot,True
EDGE/EUR,EDGE,EUR,kraken,spot,True
EDGE/USD,EDGE,USD,kraken,spot,True
EDU/EUR,EDU,EUR,kraken,spot,True
EDU/USD,EDU,USD,kraken,spot,True
EGLD/EUR,EGLD,EUR,kraken,spot,True
EGLD/USD,EGLD,USD,kraken,spot,True
EIGEN/EUR,EIGEN,EUR,kraken,spot,True
EIGEN/USD,EIGEN,USD,kraken,spot,True
ELIZAOS/EUR,ELIZAOS,EUR,kraken,spot,True
